blue top,blue jungle,blue mid,blue adc,blue sup,red top,red jungle,red mid,red adc,red sup,match result,match id
164.0,876.0,238.0,22.0,143,234.0,131.0,518.0,202.0,412,red,NA1_4055553941
58.0,154.0,517.0,67.0,111,875.0,245.0,7.0,523.0,412,red,NA1_4056016128
39.0,64.0,134.0,51.0,99,126.0,59.0,112.0,81.0,48,blue,NA1_4056543829
164.0,64.0,69.0,147.0,16,85.0,30.0,166.0,21.0,32,blue,NA1_4055460264
98.0,91.0,245.0,51.0,103,266.0,76.0,64.0,202.0,555,blue,NA1_4059193522
62.0,104.0,517.0,360.0,32,164.0,2.0,67.0,74.0,235,blue,NA1_4057828697
85.0,64.0,103.0,21.0,43,80.0,59.0,7.0,236.0,40,blue,NA1_4059558424
266.0,91.0,517.0,115.0,26,875.0,234.0,711.0,51.0,37,blue,NA1_4060888188
236.0,56.0,68.0,67.0,32,41.0,254.0,20.0,21.0,497,blue,NA1_4054579807
58.0,44.0,105.0,119.0,12,27.0,421.0,91.0,523.0,80,red,NA1_4059200195
42.0,91.0,68.0,51.0,37,85.0,141.0,711.0,202.0,12,blue,NA1_4055854987
114.0,876.0,157.0,145.0,111,164.0,28.0,246.0,360.0,497,blue,NA1_4052786778
31.0,56.0,142.0,67.0,117,39.0,246.0,55.0,202.0,432,blue,NA1_4060000342
114.0,245.0,142.0,157.0,16,58.0,79.0,96.0,202.0,201,red,NA1_4055671196
164.0,245.0,157.0,145.0,432,86.0,2.0,55.0,236.0,32,blue,NA1_4053820178
114.0,120.0,112.0,18.0,555,6.0,64.0,31.0,21.0,497,blue,NA1_4055224763
14.0,154.0,85.0,21.0,16,516.0,32.0,13.0,145.0,43,blue,NA1_4056022742
516.0,59.0,61.0,21.0,53,126.0,5.0,55.0,202.0,43,red,NA1_4050585581
875.0,104.0,238.0,236.0,101,39.0,245.0,85.0,523.0,412,blue,NA1_4052882638
82.0,107.0,18.0,360.0,555,85.0,141.0,91.0,498.0,497,blue,NA1_4057299672
777.0,104.0,245.0,119.0,89,875.0,59.0,142.0,21.0,12,blue,NA1_4055239723
62.0,121.0,84.0,236.0,161,164.0,107.0,147.0,51.0,412,red,NA1_4054302894
122.0,238.0,69.0,145.0,555,23.0,234.0,13.0,51.0,89,red,NA1_4053003538
6.0,121.0,55.0,110.0,16,164.0,104.0,711.0,21.0,517,red,NA1_4058025742
875.0,64.0,84.0,81.0,497,164.0,121.0,90.0,119.0,111,red,NA1_4055915619
164.0,76.0,39.0,236.0,111,24.0,104.0,245.0,21.0,16,blue,NA1_4059184294
92.0,30.0,62.0,236.0,89,56.0,120.0,85.0,21.0,43,red,NA1_4060659463
875.0,64.0,96.0,119.0,117,266.0,5.0,84.0,67.0,40,blue,NA1_4054348314
24.0,245.0,39.0,67.0,111,79.0,154.0,246.0,119.0,3,red,NA1_4057786263
10.0,76.0,23.0,22.0,37,8.0,203.0,18.0,523.0,117,red,NA1_4056251843
517.0,56.0,238.0,115.0,32,516.0,77.0,127.0,119.0,89,blue,NA1_4055432422
234.0,64.0,63.0,236.0,267,114.0,141.0,4.0,429.0,412,blue,NA1_4058788694
266.0,59.0,101.0,29.0,117,234.0,102.0,42.0,202.0,53,blue,NA1_4053679948
126.0,246.0,103.0,119.0,57,8.0,78.0,777.0,115.0,43,blue,NA1_4055062182
142.0,59.0,38.0,202.0,89,62.0,28.0,7.0,22.0,32,red,NA1_4057795845
234.0,107.0,517.0,222.0,412,164.0,876.0,777.0,360.0,32,red,NA1_4056001602
92.0,246.0,54.0,523.0,117,114.0,163.0,238.0,81.0,37,red,NA1_4059919254
420.0,141.0,17.0,119.0,80,517.0,121.0,166.0,115.0,555,blue,NA1_4050334763
266.0,104.0,42.0,202.0,40,876.0,121.0,136.0,16.0,37,blue,NA1_4052207572
23.0,421.0,68.0,157.0,16,711.0,427.0,42.0,81.0,54,blue,NA1_4052622212
266.0,246.0,245.0,236.0,350,8.0,120.0,157.0,81.0,711,red,NA1_4055841658
13.0,59.0,166.0,202.0,43,36.0,245.0,84.0,18.0,12,red,NA1_4051932963
17.0,246.0,105.0,110.0,555,10.0,5.0,18.0,54.0,235,red,NA1_4051428570
164.0,82.0,63.0,360.0,111,10.0,120.0,518.0,51.0,350,red,NA1_4056527506
122.0,59.0,157.0,30.0,235,69.0,121.0,13.0,81.0,143,blue,NA1_4056796787
67.0,163.0,64.0,711.0,32,17.0,5.0,45.0,81.0,37,blue,NA1_4057230052
126.0,30.0,711.0,236.0,267,92.0,163.0,157.0,21.0,32,red,NA1_4054125203
266.0,64.0,143.0,236.0,517,75.0,59.0,84.0,51.0,32,blue,NA1_4052882854
41.0,238.0,134.0,81.0,497,122.0,245.0,711.0,50.0,25,blue,NA1_4051880778
39.0,245.0,157.0,145.0,111,84.0,91.0,126.0,51.0,147,red,NA1_4056780316
24.0,104.0,112.0,51.0,432,164.0,76.0,777.0,119.0,32,red,NA1_4059104998
876.0,121.0,245.0,236.0,267,240.0,64.0,104.0,21.0,432,red,NA1_4059087199
85.0,246.0,68.0,51.0,32,114.0,91.0,3.0,21.0,43,blue,NA1_4052679911
8.0,91.0,236.0,67.0,350,164.0,2.0,3.0,29.0,99,blue,NA1_4060716307
240.0,427.0,246.0,50.0,432,92.0,238.0,75.0,115.0,32,blue,NA1_4059440718
10.0,421.0,157.0,81.0,53,114.0,131.0,777.0,67.0,40,blue,NA1_4058612589
122.0,59.0,777.0,147.0,432,266.0,141.0,38.0,498.0,111,blue,NA1_4059938378
107.0,5.0,42.0,21.0,517,23.0,91.0,74.0,236.0,32,blue,NA1_4057502611
887.0,245.0,236.0,119.0,40,85.0,203.0,26.0,202.0,267,red,NA1_4054974282
266.0,30.0,103.0,29.0,25,98.0,163.0,20.0,81.0,43,red,NA1_4060396623
80.0,104.0,711.0,110.0,26,54.0,203.0,142.0,145.0,350,blue,NA1_4053165666
17.0,234.0,711.0,21.0,89,223.0,76.0,8.0,51.0,40,blue,NA1_4054889535
92.0,141.0,4.0,115.0,16,266.0,9.0,104.0,51.0,25,red,NA1_4054943674
126.0,2.0,3.0,81.0,432,887.0,141.0,166.0,51.0,16,blue,NA1_4056721318
92.0,876.0,238.0,147.0,43,78.0,104.0,7.0,21.0,497,blue,NA1_4058979000
10.0,120.0,238.0,498.0,63,887.0,203.0,54.0,157.0,26,red,NA1_4060291033
266.0,121.0,711.0,67.0,526,875.0,30.0,7.0,15.0,98,red,NA1_4057322015
92.0,245.0,126.0,157.0,12,75.0,131.0,517.0,498.0,111,blue,NA1_4052538692
117.0,141.0,85.0,21.0,25,39.0,91.0,127.0,523.0,3,blue,NA1_4058120817
164.0,56.0,42.0,236.0,89,23.0,121.0,131.0,498.0,497,red,NA1_4057380297
126.0,163.0,238.0,51.0,99,875.0,141.0,34.0,222.0,117,red,NA1_4050638401
266.0,77.0,18.0,145.0,98,875.0,2.0,1.0,81.0,432,blue,NA1_4053954304
68.0,64.0,103.0,236.0,201,10.0,91.0,55.0,498.0,53,red,NA1_4057387870
39.0,76.0,7.0,21.0,555,6.0,30.0,238.0,236.0,201,red,NA1_4056675409
98.0,163.0,55.0,15.0,412,24.0,28.0,238.0,67.0,53,blue,NA1_4061110382
90.0,76.0,777.0,18.0,12,107.0,246.0,711.0,21.0,432,red,NA1_4050926750
17.0,30.0,238.0,119.0,37,62.0,120.0,711.0,18.0,53,blue,NA1_4057516363
62.0,59.0,157.0,236.0,32,85.0,64.0,711.0,81.0,16,blue,NA1_4054770028
157.0,77.0,68.0,222.0,267,777.0,121.0,7.0,236.0,117,red,NA1_4059606670
24.0,120.0,8.0,81.0,350,58.0,113.0,105.0,67.0,497,blue,NA1_4056527094
85.0,141.0,166.0,21.0,12,39.0,163.0,117.0,145.0,154,blue,NA1_4060661476
164.0,64.0,3.0,145.0,350,98.0,59.0,69.0,360.0,235,blue,NA1_4058516689
39.0,131.0,62.0,236.0,89,164.0,20.0,517.0,29.0,412,red,NA1_4058019462
