blue top,blue jungle,blue mid,blue adc,blue sup,red top,red jungle,red mid,red adc,red sup,match result,match id
777.0,79.0,166.0,51.0,25,39.0,64.0,69.0,67.0,267,blue,NA1_4052958179
83.0,238.0,711.0,81.0,111,164.0,104.0,8.0,115.0,25,red,NA1_4051616456
92.0,20.0,126.0,67.0,350,164.0,64.0,268.0,21.0,89,red,NA1_4056629301
126.0,245.0,268.0,236.0,43,39.0,141.0,55.0,15.0,350,red,NA1_4061273901
7.0,5.0,777.0,236.0,147,164.0,245.0,10.0,202.0,267,red,NA1_4051959928
17.0,98.0,142.0,711.0,16,54.0,245.0,157.0,21.0,117,blue,NA1_4061329940
114.0,64.0,103.0,51.0,89,517.0,421.0,23.0,21.0,101,blue,NA1_4052352102
777.0,421.0,42.0,18.0,16,157.0,234.0,69.0,21.0,143,red,NA1_4051119161
240.0,254.0,1.0,523.0,40,62.0,64.0,68.0,51.0,711,blue,NA1_4050515991
114.0,104.0,3.0,67.0,111,78.0,121.0,161.0,498.0,497,red,NA1_4050640848
164.0,245.0,4.0,81.0,350,875.0,131.0,112.0,498.0,40,red,NA1_4059390170
42.0,203.0,3.0,67.0,350,54.0,64.0,236.0,37.0,147,blue,NA1_4057398114
126.0,245.0,203.0,202.0,711,516.0,30.0,777.0,21.0,37,red,NA1_4056254338
86.0,64.0,246.0,145.0,117,41.0,131.0,238.0,236.0,32,red,NA1_4058738475
154.0,163.0,157.0,119.0,555,777.0,9.0,23.0,81.0,40,red,NA1_4053621480
114.0,5.0,91.0,30.0,25,150.0,104.0,7.0,81.0,555,blue,NA1_4056644196
31.0,421.0,777.0,81.0,101,24.0,104.0,34.0,119.0,412,blue,NA1_4054537013
92.0,131.0,105.0,30.0,350,150.0,28.0,7.0,202.0,26,blue,NA1_4058170802
266.0,245.0,55.0,15.0,143,14.0,28.0,13.0,81.0,350,blue,NA1_4061004325
23.0,9.0,61.0,498.0,497,114.0,91.0,711.0,523.0,98,red,NA1_4055446201
516.0,28.0,777.0,523.0,350,266.0,59.0,85.0,21.0,432,blue,NA1_4053843200
39.0,64.0,517.0,50.0,111,6.0,5.0,103.0,119.0,32,red,NA1_4060759739
141.0,102.0,246.0,21.0,350,82.0,5.0,13.0,67.0,147,red,NA1_4050350936
92.0,104.0,84.0,115.0,32,85.0,246.0,236.0,119.0,111,blue,NA1_4050546889
777.0,245.0,84.0,236.0,267,126.0,91.0,517.0,360.0,89,blue,NA1_4053131975
234.0,2.0,245.0,30.0,32,164.0,76.0,104.0,119.0,267,blue,NA1_4058074086
92.0,104.0,85.0,115.0,89,266.0,245.0,238.0,81.0,22,blue,NA1_4055927041
85.0,59.0,91.0,236.0,53,777.0,104.0,142.0,81.0,63,blue,NA1_4058055929
80.0,60.0,23.0,236.0,32,240.0,876.0,91.0,69.0,432,blue,NA1_4057006468
43.0,9.0,91.0,202.0,90,10.0,104.0,1.0,523.0,48,blue,NA1_4057315566
114.0,104.0,101.0,21.0,497,68.0,64.0,79.0,236.0,267,red,NA1_4059565436
518.0,234.0,245.0,67.0,412,6.0,154.0,75.0,81.0,16,blue,NA1_4058494847
150.0,64.0,13.0,119.0,235,14.0,28.0,34.0,51.0,32,red,NA1_4053918472
92.0,121.0,68.0,51.0,53,23.0,28.0,39.0,711.0,412,blue,NA1_4059491434
266.0,59.0,105.0,81.0,432,54.0,245.0,238.0,115.0,16,blue,NA1_4057967343
8.0,48.0,23.0,236.0,555,7.0,64.0,114.0,21.0,412,blue,NA1_4058606939
266.0,28.0,69.0,523.0,53,223.0,59.0,777.0,21.0,101,blue,NA1_4059936408
113.0,246.0,711.0,222.0,117,517.0,254.0,777.0,51.0,16,blue,NA1_4057907839
36.0,64.0,131.0,21.0,44,68.0,2.0,101.0,236.0,32,red,NA1_4057510302
517.0,64.0,7.0,110.0,412,54.0,246.0,103.0,51.0,26,blue,NA1_4057384640
126.0,5.0,4.0,145.0,43,85.0,427.0,166.0,110.0,117,blue,NA1_4050520531
23.0,245.0,164.0,115.0,497,223.0,104.0,517.0,222.0,117,blue,NA1_4056150576
6.0,246.0,8.0,51.0,143,75.0,163.0,157.0,523.0,25,blue,NA1_4054848359
92.0,91.0,13.0,523.0,43,17.0,104.0,777.0,81.0,267,red,NA1_4050464059
17.0,421.0,38.0,523.0,412,8.0,64.0,711.0,498.0,497,blue,NA1_4053724970
98.0,120.0,105.0,51.0,412,266.0,9.0,104.0,21.0,32,red,NA1_4059160925
266.0,20.0,7.0,498.0,555,126.0,238.0,517.0,51.0,497,red,NA1_4057504281
68.0,234.0,268.0,21.0,89,62.0,64.0,42.0,145.0,111,blue,NA1_4060701764
164.0,163.0,39.0,69.0,53,86.0,421.0,4.0,145.0,37,blue,NA1_4050405821
6.0,59.0,517.0,236.0,201,24.0,64.0,105.0,202.0,350,red,NA1_4053864629
78.0,32.0,238.0,115.0,432,777.0,64.0,240.0,45.0,16,blue,NA1_4053117164
24.0,163.0,91.0,222.0,432,114.0,238.0,74.0,30.0,89,blue,NA1_4056669753
875.0,120.0,143.0,145.0,201,24.0,254.0,55.0,236.0,32,red,NA1_4056738092
164.0,102.0,4.0,21.0,412,133.0,203.0,777.0,119.0,50,red,NA1_4055304196
150.0,141.0,99.0,498.0,3,104.0,421.0,55.0,22.0,37,red,NA1_4051442331
223.0,59.0,142.0,236.0,32,39.0,30.0,777.0,81.0,235,red,NA1_4053769898
68.0,64.0,777.0,67.0,147,875.0,131.0,157.0,30.0,497,blue,NA1_4051190723
875.0,427.0,1.0,360.0,57,67.0,91.0,3.0,147.0,267,blue,NA1_4060166647
62.0,121.0,105.0,29.0,350,164.0,64.0,4.0,21.0,412,blue,NA1_4053304775
875.0,104.0,7.0,119.0,12,27.0,141.0,105.0,202.0,32,blue,NA1_4053402683
59.0,154.0,711.0,21.0,267,777.0,121.0,63.0,81.0,432,red,NA1_4058663836
17.0,245.0,777.0,119.0,16,39.0,64.0,8.0,236.0,267,blue,NA1_4058950710
777.0,32.0,103.0,360.0,111,150.0,91.0,42.0,236.0,40,red,NA1_4051008596
98.0,234.0,517.0,202.0,3,62.0,11.0,69.0,81.0,37,red,NA1_4056288318
114.0,64.0,45.0,360.0,32,75.0,33.0,126.0,21.0,161,red,NA1_4050848471
122.0,59.0,13.0,236.0,267,164.0,64.0,75.0,21.0,63,red,NA1_4061327179
