champion 1,champion 2,win rate
68.0,84.0,0.333
84.0,13.0,0.5
13.0,84.0,0.5
84.0,360.0,0.714
360.0,84.0,0.714
84.0,113.0,0.5
113.0,84.0,0.5
84.0,235.0,0.6
235.0,84.0,0.6
84.0,147.0,0.6
147.0,84.0,0.6
84.0,875.0,0.583
875.0,84.0,0.583
84.0,35.0,0.571
35.0,84.0,0.571
84.0,98.0,0.545
98.0,84.0,0.545
84.0,102.0,0.571
102.0,84.0,0.571
84.0,27.0,0.333
27.0,84.0,0.333
84.0,14.0,0.5
14.0,84.0,0.5
84.0,15.0,0.4
15.0,84.0,0.4
84.0,72.0,1.0
72.0,84.0,1.0
84.0,37.0,0.353
37.0,84.0,0.353
84.0,16.0,0.583
16.0,84.0,0.583
84.0,50.0,0.667
50.0,84.0,0.667
84.0,517.0,0.375
517.0,84.0,0.375
84.0,134.0,0.5
134.0,84.0,0.5
84.0,223.0,0.333
223.0,84.0,0.333
84.0,163.0,0.6
163.0,84.0,0.6
84.0,91.0,0.75
91.0,84.0,0.75
84.0,44.0,0.667
44.0,84.0,0.667
84.0,17.0,0.5
17.0,84.0,0.5
84.0,412.0,0.294
412.0,84.0,0.294
84.0,18.0,0.429
18.0,84.0,0.429
84.0,48.0,0.556
48.0,84.0,0.556
84.0,23.0,0.6
23.0,84.0,0.6
84.0,4.0,0.5
4.0,84.0,0.5
84.0,29.0,0.25
29.0,84.0,0.25
84.0,77.0,0.5
77.0,84.0,0.5
84.0,6.0,0.5
6.0,84.0,0.5
84.0,110.0,0.667
110.0,84.0,0.667
84.0,67.0,0.333
67.0,84.0,0.333
84.0,45.0,0.5
45.0,84.0,0.5
84.0,161.0,0.0
161.0,84.0,0.0
84.0,711.0,0.6
711.0,84.0,0.6
84.0,254.0,0.75
254.0,84.0,0.75
84.0,234.0,0.286
234.0,84.0,0.286
84.0,112.0,0.0
112.0,84.0,0.0
84.0,8.0,0.25
8.0,84.0,0.25
84.0,106.0,0.5
106.0,84.0,0.5
84.0,19.0,0.5
19.0,84.0,0.5
84.0,498.0,0.2
498.0,84.0,0.2
84.0,101.0,0.667
101.0,84.0,0.667
84.0,5.0,0.263
5.0,84.0,0.263
84.0,157.0,0.625
157.0,84.0,0.625
84.0,777.0,0.435
777.0,84.0,0.435
84.0,83.0,0.0
83.0,84.0,0.0
84.0,350.0,0.455
350.0,84.0,0.455
84.0,154.0,0.333
154.0,84.0,0.333
84.0,238.0,0.409
238.0,84.0,0.409
84.0,115.0,0.4
115.0,84.0,0.4
84.0,26.0,0.143
26.0,84.0,0.143
84.0,142.0,0.0
142.0,84.0,0.0
84.0,143.0,0.0
143.0,84.0,0.0
166.0,12.0,0.524
12.0,166.0,0.524
166.0,32.0,0.524
32.0,166.0,0.524
166.0,34.0,0.571
34.0,166.0,0.571
166.0,1.0,0.333
1.0,166.0,0.333
166.0,523.0,0.231
523.0,166.0,0.231
166.0,22.0,0.778
22.0,166.0,0.778
166.0,136.0,0.0
136.0,166.0,0.0
166.0,268.0,0.5
268.0,166.0,0.5
166.0,432.0,0.583
432.0,166.0,0.583
166.0,53.0,0.48
53.0,166.0,0.48
166.0,63.0,0.5
63.0,166.0,0.5
166.0,201.0,0.5
201.0,166.0,0.5
166.0,51.0,0.741
51.0,166.0,0.741
166.0,164.0,0.629
164.0,166.0,0.629
166.0,69.0,0.6
69.0,166.0,0.6
166.0,31.0,0.625
31.0,166.0,0.625
166.0,42.0,0.5
42.0,166.0,0.5
166.0,122.0,0.4
122.0,166.0,0.4
166.0,131.0,0.538
131.0,166.0,0.538
166.0,119.0,0.6
119.0,166.0,0.6
166.0,36.0,0.333
36.0,166.0,0.333
166.0,245.0,0.49
245.0,166.0,0.49
166.0,60.0,0.273
60.0,166.0,0.273
166.0,28.0,0.5
28.0,166.0,0.5
166.0,81.0,0.394
81.0,166.0,0.394
166.0,9.0,0.5
9.0,166.0,0.5
166.0,114.0,0.583
114.0,166.0,0.583
166.0,105.0,0.5
105.0,166.0,0.5
166.0,3.0,0.5
3.0,166.0,0.5
166.0,41.0,0.667
41.0,166.0,0.667
166.0,86.0,0.0
86.0,166.0,0.0
166.0,150.0,0.0
150.0,166.0,0.0
166.0,79.0,0.778
79.0,166.0,0.778
166.0,104.0,0.333
104.0,166.0,0.333
166.0,887.0,0.375
887.0,166.0,0.375
166.0,120.0,0.714
120.0,166.0,0.714
166.0,74.0,0.667
74.0,166.0,0.667
166.0,420.0,0.5
420.0,166.0,0.5
166.0,39.0,0.688
39.0,166.0,0.688
166.0,427.0,0.333
427.0,166.0,0.333
166.0,40.0,0.375
40.0,166.0,0.375
166.0,59.0,0.63
59.0,166.0,0.63
166.0,24.0,0.545
24.0,166.0,0.545
166.0,126.0,0.667
126.0,166.0,0.667
166.0,202.0,0.609
202.0,166.0,0.609
166.0,222.0,0.625
222.0,166.0,0.625
166.0,145.0,0.412
145.0,166.0,0.412
166.0,429.0,1.0
429.0,166.0,1.0
166.0,43.0,0.474
43.0,166.0,0.474
166.0,30.0,0.423
30.0,166.0,0.423
166.0,38.0,1.0
38.0,166.0,1.0
166.0,55.0,0.5
55.0,166.0,0.5
166.0,10.0,0.375
10.0,166.0,0.375
166.0,141.0,0.778
141.0,166.0,0.778
166.0,85.0,0.5
85.0,166.0,0.5
166.0,121.0,0.545
121.0,166.0,0.545
166.0,203.0,0.583
203.0,166.0,0.583
166.0,240.0,0.6
240.0,166.0,0.6
166.0,96.0,0.5
96.0,166.0,0.5
166.0,7.0,0.571
7.0,166.0,0.571
166.0,64.0,0.5
64.0,166.0,0.5
166.0,89.0,0.615
89.0,166.0,0.615
166.0,876.0,0.538
876.0,166.0,0.538
166.0,127.0,0.333
127.0,166.0,0.333
166.0,236.0,0.529
236.0,166.0,0.529
166.0,117.0,0.3
117.0,166.0,0.3
166.0,99.0,0.429
99.0,166.0,0.429
166.0,54.0,0.714
54.0,166.0,0.714
166.0,90.0,0.667
90.0,166.0,0.667
166.0,57.0,0.0
57.0,166.0,0.0
166.0,11.0,0.5
11.0,166.0,0.5
166.0,21.0,0.441
21.0,166.0,0.441
166.0,62.0,0.571
62.0,166.0,0.571
166.0,82.0,0.588
82.0,166.0,0.588
166.0,25.0,0.444
25.0,166.0,0.444
166.0,267.0,0.714
267.0,166.0,0.714
166.0,75.0,0.25
75.0,166.0,0.25
166.0,111.0,0.524
111.0,166.0,0.524
166.0,518.0,1.0
518.0,166.0,1.0
166.0,76.0,0.421
76.0,166.0,0.421
166.0,56.0,0.8
56.0,166.0,0.8
166.0,20.0,0.75
20.0,166.0,0.75
166.0,2.0,1.0
2.0,166.0,1.0
166.0,61.0,1.0
61.0,166.0,1.0
166.0,516.0,0.333
516.0,166.0,0.333
166.0,80.0,0.5
80.0,166.0,0.5
166.0,78.0,0.357
78.0,166.0,0.357
166.0,555.0,0.6
555.0,166.0,0.6
166.0,246.0,0.5
246.0,166.0,0.5
166.0,133.0,0.0
133.0,166.0,0.0
166.0,497.0,0.435
497.0,166.0,0.435
166.0,33.0,1.0
33.0,166.0,1.0
166.0,421.0,0.286
421.0,166.0,0.286
166.0,526.0,0.2
526.0,166.0,0.2
166.0,58.0,0.0
58.0,166.0,0.0
166.0,107.0,0.333
107.0,166.0,0.333
166.0,92.0,0.833
92.0,166.0,0.833
166.0,68.0,0.636
68.0,166.0,0.636
166.0,13.0,0.5
13.0,166.0,0.5
166.0,360.0,0.2
360.0,166.0,0.2
166.0,113.0,0.5
113.0,166.0,0.5
166.0,235.0,0.556
235.0,166.0,0.556
166.0,147.0,0.364
147.0,166.0,0.364
166.0,875.0,0.35
875.0,166.0,0.35
166.0,35.0,0.417
35.0,166.0,0.417
166.0,98.0,0.462
98.0,166.0,0.462
166.0,102.0,0.545
102.0,166.0,0.545
166.0,27.0,0.333
27.0,166.0,0.333
166.0,14.0,0.429
14.0,166.0,0.429
166.0,15.0,0.167
15.0,166.0,0.167
166.0,72.0,1.0
72.0,166.0,1.0
166.0,37.0,0.684
37.0,166.0,0.684
166.0,16.0,0.619
16.0,166.0,0.619
166.0,50.0,0.5
50.0,166.0,0.5
166.0,517.0,0.471
517.0,166.0,0.471
166.0,134.0,0.667
134.0,166.0,0.667
166.0,223.0,0.6
